,Questions,Queries
1149,"tại sao đến ngày 2 - 9 - 1945,  Chính phủ kháng chiến Lào mới hình thành","match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""ngày 2 - 9 - 1945""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name = ""Chính phủ kháng chiến Lào""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
1150,"tại sao đến tháng 8/1961,  Hội Liên hiệp thuộc địa mới hình thành","match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""tháng 8/1961""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name = ""Hội Liên hiệp thuộc địa""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
1151,"tại sao đến giữa năm 1919,  Ủy ban Việt Minh tỉnh Cao Bằng mới hình thành","match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""giữa năm 1919""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name = ""Ủy ban Việt Minh tỉnh Cao Bằng""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
1152,"tại sao đến ngày 9 - 11 - 1918,  liên bang cộng hòa xã hội chủ nghĩa Xô Viết mới hình thành","match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""ngày 9 - 11 - 1918""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name = ""liên bang cộng hòa xã hội chủ nghĩa Xô Viết""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
1153,"tại sao đến Ngày 7 - 10 (20 - 10),  Quốc hội lập hiến mới hình thành","match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""Ngày 7 - 10 (20 - 10)""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name = ""Quốc hội lập hiến""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
1154,"tại sao đến những năm 60 của thế kỉ XIX,  Chính phủ Pháp mới hình thành","match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""những năm 60 của thế kỉ XIX""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name = ""Chính phủ Pháp""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
1155,"tại sao đến tháng 8/1961,  quốc gia Phù Nam mới hình thành","match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""tháng 8/1961""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name = ""quốc gia Phù Nam""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
1156,"tại sao đến năm 1930,  Nhà Mãn Thanh mới hình thành","match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""năm 1930""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name = ""Nhà Mãn Thanh""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
1157,"tại sao đến năm 1854,  triều đình mới hình thành","match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""năm 1854""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name = ""triều đình""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
1158,"tại sao đến tháng 9 - 1940,  triều đại phương Bắc mới hình thành","match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""tháng 9 - 1940""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name = ""triều đại phương Bắc""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
1159,"tại sao đến năm 1833,  Chính phủ phản quốc mới hình thành","match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""năm 1833""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name = ""Chính phủ phản quốc""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
1160,"tại sao đến năm 25/10/1917,  Đảng Cộng sản Trung Quốc mới hình thành","match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""năm 25/10/1917""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name = ""Đảng Cộng sản Trung Quốc""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
1161,Ý nghĩa của cuộc nội chiến Mĩ?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc nội chiến Mĩ""
match (e)-[:y_nghia]-(b)
return b"
1162,Ý nghĩa của trận Oa-téc-lô?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""trận Oa-téc-lô""
match (e)-[:y_nghia]-(b)
return b"
1163,Đại hội Xô viết toàn Nga lần Thứ hai được tổ chức ở đâu?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội Xô viết toàn Nga lần Thứ hai""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
1164,Hội nghị Tuân Nghĩa được tổ chức ở đâu?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị Tuân Nghĩa""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
1165,Hội nghị I-an-ta được tổ chức ở đâu?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị I-an-ta""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
1166,hội nghị hòa bình được tổ chức ở đâu?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""hội nghị hòa bình""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
1167,Hội nghị Ianta được tổ chức ở đâu?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị Ianta""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
1168,Đảng được tổ chức ở đâu?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đảng""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
1169,Trận Ngọc Hồi - Đống Đa bắt đầu khi nào?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Trận Ngọc Hồi - Đống Đa""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b"
1170,khởi nghĩa Khúc Thừa Dụ bắt đầu khi nào?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""khởi nghĩa Khúc Thừa Dụ""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b"
1171,Trung đội Cứu quốc quân I do ai thành lập?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Trung đội Cứu quốc quân I""
match (e)-[:thanh_lap_boi]-(b)
return b"
1172,nhà Đường do ai thành lập?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""nhà Đường""
match (e)-[:thanh_lap_boi]-(b)
return b"
1173,Cuộc Cách mạng Tân Hơi chống lại ai?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc Cách mạng Tân Hơi""
match (e)-[:doi_tuong_bi_tan_cong]-(b)
return b"
1174,Khởi nghĩa Lam Sơn chống lại ai?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Khởi nghĩa Lam Sơn""
match (e)-[:doi_tuong_bi_tan_cong]-(b)
return b"
1175,khởi nghĩa Khúc Thừa Dụ chống lại ai?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""khởi nghĩa Khúc Thừa Dụ""
match (e)-[:doi_tuong_bi_tan_cong]-(b)
return b"
1176,Cuộc cách mạng tháng 8 chống lại ai?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc cách mạng tháng 8""
match (e)-[:doi_tuong_bi_tan_cong]-(b)
return b"
1177,trận Vạn Tường chống lại ai?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""trận Vạn Tường""
match (e)-[:doi_tuong_bi_tan_cong]-(b)
return b"
1178,Cách mạng Hà Lan chống lại ai?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng Hà Lan""
match (e)-[:doi_tuong_bi_tan_cong]-(b)
return b"
1179,Cách mạng Tân Hợi chống lại ai?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng Tân Hợi""
match (e)-[:doi_tuong_bi_tan_cong]-(b)
return b"
1180,CHIẾN TRANH THẾ GIỚI THỨ NHẤT chống lại ai?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""CHIẾN TRANH THẾ GIỚI THỨ NHẤT""
match (e)-[:doi_tuong_bi_tan_cong]-(b)
return b"
1181,phong trào xô viết nghệ tĩnh chống lại ai?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""phong trào xô viết nghệ tĩnh""
match (e)-[:doi_tuong_bi_tan_cong]-(b)
return b"
1182,"Vào đêm 3 - 8 - 1914, Mĩ Latinh đã tiến hành xâm chiếm các nước nào?","match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""đêm 3 - 8 - 1914""
match (e)-[:doi_tuong_xam_chiem|doi_tuong_chiem]-(b) where b.name = ""Mĩ Latinh""
match (e)-[:doi_tuong_bi_chiem]-(c)
return c"
1183,"Vào 18 - 12 - 1861, Huế đã tiến hành xâm chiếm các nước nào?","match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""18 - 12 - 1861""
match (e)-[:doi_tuong_xam_chiem|doi_tuong_chiem]-(b) where b.name = ""Huế""
match (e)-[:doi_tuong_bi_chiem]-(c)
return c"
1184,"Vào ngày 2 - 9 - 1945, Bun-ga-ri đã tiến hành xâm chiếm các nước nào?","match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""ngày 2 - 9 - 1945""
match (e)-[:doi_tuong_xam_chiem|doi_tuong_chiem]-(b) where b.name = ""Bun-ga-ri""
match (e)-[:doi_tuong_bi_chiem]-(c)
return c"
1185,Đảng (năm 1898) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đảng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 1898""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1186,Đại hội lần thứ XIII (Năm 1933) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội lần thứ XIII""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""Năm 1933""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1187,Hội nghị Tuân Nghĩa (Tháng 12 - 1944) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị Tuân Nghĩa""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""Tháng 12 - 1944""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1188,Đại hội Xô viết toàn Nga lần Thứ hai (tháng 9 - 1940) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội Xô viết toàn Nga lần Thứ hai""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""tháng 9 - 1940""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1189,Đại hội lần thứ XIII (Năm 603) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội lần thứ XIII""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""Năm 603""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1190,Đại hội Xô viết toàn Nga lần Thứ hai (những năm đầu thập niên 20 của thế kỉ XX) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội Xô viết toàn Nga lần Thứ hai""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""những năm đầu thập niên 20 của thế kỉ XX""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1191,Đại hội lần thứ nhất các xô viết toàn Liên bang (ngày 4-7-1776) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội lần thứ nhất các xô viết toàn Liên bang""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""ngày 4-7-1776""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1192,Đại hội lần thứ XIII (những năm đầu thập niên 20 của thế kỉ XX) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội lần thứ XIII""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""những năm đầu thập niên 20 của thế kỉ XX""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1193,Hội nghị I-an-ta (năm 1927) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị I-an-ta""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 1927""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1194,Đại hội Xô viết toàn Nga lần Thứ hai (Ngày 7 - 10 (20 - 10)) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội Xô viết toàn Nga lần Thứ hai""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""Ngày 7 - 10 (20 - 10)""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1195,Đảng (ngày 9 - 11 - 1918) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đảng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""ngày 9 - 11 - 1918""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1196,Hội nghị Tuân Nghĩa (tháng 2 - 1943) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị Tuân Nghĩa""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""tháng 2 - 1943""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1197,Đảng (năm 25/10/1917) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đảng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 25/10/1917""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1198,Đại hội Xô viết toàn Nga lần thứ hai (đêm 3 - 8 - 1914) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội Xô viết toàn Nga lần thứ hai""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""đêm 3 - 8 - 1914""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1199,hội nghị hòa bình (tháng 11 - 1942) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""hội nghị hòa bình""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""tháng 11 - 1942""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1200,Hội nghị I-an-ta (Ngày 21 - 12 - 1873) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị I-an-ta""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""Ngày 21 - 12 - 1873""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
1201,Nội dung của Hiệp định đình chiến giữa 18 - 12 - 1861 và Đông Dương cộng sản đảng là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp định đình chiến""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""18 - 12 - 1861""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Đông Dương cộng sản đảng""
match (e)-[:mo_ta]-(d) 
return d"
1202,Nội dung của Hiệp định Sơ bộ giữa giữa năm 1919 và liên minh phát xít là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp định Sơ bộ""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""giữa năm 1919""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""liên minh phát xít""
match (e)-[:mo_ta]-(d) 
return d"
1203,Nội dung của Hiệp ước Xô - Đức giữa năm 1927 và Liên minh vì tiến bộ là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Xô - Đức""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""năm 1927""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Liên minh vì tiến bộ""
match (e)-[:mo_ta]-(d) 
return d"
1204,Nội dung của Hiệp định Sơ bộ giữa ngày 9 - 11 - 1918 và Chính phủ Trung Hoa Dân quốc là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp định Sơ bộ""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""ngày 9 - 11 - 1918""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Chính phủ Trung Hoa Dân quốc""
match (e)-[:mo_ta]-(d) 
return d"
1205,Nội dung của Hiệp ước Nhâm Tuất giữa năm 1922 và Ủy ban Khởi nghĩa toàn quốc là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Nhâm Tuất""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""năm 1922""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Ủy ban Khởi nghĩa toàn quốc""
match (e)-[:mo_ta]-(d) 
return d"
1206,Nội dung của Hiệp ước Xô - Đức giữa năm 1885 và Đảng Cộng sản công nhân Mĩ là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Xô - Đức""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""năm 1885""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Đảng Cộng sản công nhân Mĩ""
match (e)-[:mo_ta]-(d) 
return d"
1207,Nội dung của Hiệp ước Nam Kinh giữa Ngày 9 - 5 - 1911 và Quốc dân đảng là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Nam Kinh""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""Ngày 9 - 5 - 1911""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Quốc dân đảng""
match (e)-[:mo_ta]-(d) 
return d"
1208,Nội dung của Hiệp ước Xô - Đức giữa năm 1898 và Triệu là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Xô - Đức""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""năm 1898""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Triệu""
match (e)-[:mo_ta]-(d) 
return d"
1209,Nội dung của Hiệp ước Nhâm Tuất giữa năm 25/10/1917 và Liên bang Cộng hòa xã hội chủ nghĩa Xô viết là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Nhâm Tuất""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""năm 25/10/1917""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Liên bang Cộng hòa xã hội chủ nghĩa Xô viết""
match (e)-[:mo_ta]-(d) 
return d"
1210,Nội dung của Hiệp ước Xô - Đức giữa tháng 9 - 1949 và Đảng Cộng sản Đông Dương là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Xô - Đức""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""tháng 9 - 1949""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Đảng Cộng sản Đông Dương""
match (e)-[:mo_ta]-(d) 
return d"
1211,Nội dung của Hiệp ước Nam Kinh giữa Ngày 13 - 3 - 1954 và Vương triều Tây Ban Nha là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Nam Kinh""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""Ngày 13 - 3 - 1954""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Vương triều Tây Ban Nha""
match (e)-[:mo_ta]-(d) 
return d"
1212,Nội dung của Hòa ước Bret Litốp giữa năm 1885 và Trung đội Cứu quốc quân I là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hòa ước Bret Litốp""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""năm 1885""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Trung đội Cứu quốc quân I""
match (e)-[:mo_ta]-(d) 
return d"
1213,Nội dung của Hiệp ước Xô - Đức giữa tháng 2 - 1943 và Chính phủ kháng chiến Lào là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Xô - Đức""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""tháng 2 - 1943""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Chính phủ kháng chiến Lào""
match (e)-[:mo_ta]-(d) 
return d"
1214,Nội dung của Hiệp ước Nhâm Tuất giữa giữa thế kỉ XIX và Mặt trận Lào Ítxala là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Nhâm Tuất""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""giữa thế kỉ XIX""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Mặt trận Lào Ítxala""
match (e)-[:mo_ta]-(d) 
return d"
1215,Nội dung của Điều ước Tân Sửu giữa năm 1930 và liên quân phong kiến Áo - Phổ là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Điều ước Tân Sửu""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""năm 1930""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""liên quân phong kiến Áo - Phổ""
match (e)-[:mo_ta]-(d) 
return d"
1216,Nội dung của Hiệp ước Nhâm Tuất giữa ngày 3 - 3 - 1918 và triều đình Huế là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Nhâm Tuất""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""ngày 3 - 3 - 1918""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""triều đình Huế""
match (e)-[:mo_ta]-(d) 
return d"
1217,Nội dung của Điều ước Tân Sửu giữa Năm 1854 và Đảng Cộng sản Trung Quốc là gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Điều ước Tân Sửu""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""Năm 1854""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Đảng Cộng sản Trung Quốc""
match (e)-[:mo_ta]-(d) 
return d"
